antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'1487580009311764506', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.03035704591107331,0.17915633652436708,0.019300023525579545,0.6357675111773473,3.5486744343584884,0.013861366392449634,2.2536256063508584,0.740689791106895
"frozenset({'1487580009311764506', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.02602291029515554,0.2124359832787419,0.019300023525579545,0.7416550764951322,3.491193276432789,0.013771820989253683,3.0484981320192985,0.7326301533308399
"frozenset({'1487580005092295511', '1487580009387261981'})",frozenset({'1487580005268456287'}),0.0415045512948117,0.17915633652436708,0.029615085325467343,0.7135382603008502,3.9827687601984527,0.022179281966401204,2.865456533000554,0.7813478813548287
"frozenset({'1487580009387261981', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.03796666606344668,0.2124359832787419,0.029615085325467343,0.7800285986653955,3.671828974669997,0.02154959928846341,3.5803018571640277,0.7563731266784119
"frozenset({'1487580009445982239', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.05092383141207767,0.17915633652436708,0.034012559040156355,0.667910447761194,3.7280872154379616,0.02488923196258403,2.4717539529378607,0.7710297193495075
"frozenset({'1487580009445982239', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.04601965290721873,0.2124359832787419,0.034012559040156355,0.7390876917027134,3.4791078248402965,0.024236328824664928,3.0185008206814765,0.7469440971988194
"frozenset({'1487580009471148064', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.02565193000235256,0.17915633652436708,0.01731844586402215,0.6751322751322751,3.7683974132863023,0.012722740060021168,2.5267011791025182,0.7539761503032368
"frozenset({'1487580009471148064', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.023208889049747553,0.2124359832787419,0.01731844586402215,0.7461988304093568,3.512582091284662,0.012388042697931803,3.103074812427077,0.7323051332538858
"frozenset({'1487580005092295511', '1487580009496313889'})",frozenset({'1487580005268456287'}),0.017490363560686947,0.17915633652436708,0.011789934671275268,0.6740817382307295,3.762533613423422,0.008656425211263311,2.5185568277752357,0.7472920532103984
"frozenset({'1487580009496313889', '1487580005268456287'})",frozenset({'1487580005092295511'}),0.0161331185870175,0.2124359832787419,0.011789934671275268,0.7307908020190691,3.4400518722865443,0.008362679760889658,2.925472170445841,0.7209376821093451
"frozenset({'1487580009605365797', '1487580005092295511'})",frozenset({'1487580005268456287'}),0.026611049783745636,0.17915633652436708,0.018657594238042672,0.7011220673240394,3.9134650826524333,0.013890056047719253,2.746417763688095,0.7648247658071131
